Series,N,Mean,Median,Std. dev.,Minimum,Maximum,Lag-1 autocorrelation
S&P 500,811,1087.412885326757,418.48,1462.45745213164,53.73,7481.34,0.9991291875302387
UNRATE,810,5.845061728395062,5.6,1.683756926645493,3.4,14.8,0.9680501326996475
FEDFUNDS,811,4.758532675709001,4.61,3.5804587529167806,0.05,19.1,0.9906524825676918
